PCS_ESE;label;Effectifs en EQTP;Salaire moyen en EQTP
461B;Secrétaires de direction, assistants de direction (non cadres);79920;2500
461C;Secrétaires de niveau supérieur (non cadres, hors secrétaires de direction);40210;2300
461D;Maîtrise et techniciens des services financiers ou comptables;124130;2500
461E;Maîtrise et techniciens administratifs des services juridiques ou du personnel;66830;2500
461F;Maîtrise et techniciens administratifs des autres services administratifs;120560;2500
462A;Chefs de petites surfaces de vente;30540;2400
462B;Maîtrise de l'exploitation des magasins de vente;83570;2300
462C;Acheteurs non classés cadres, aides-acheteurs;28420;2400
462D;Animateurs commerciaux des magasins de vente, marchandiseurs (non cadres);18180;2300
462E;Autres professions intermédiaires commerciales (sauf techniciens des forces de vente);126070;2600
463A;Techniciens commerciaux et technico-commerciaux, représentants en informatique;10540;2600
463B;Techniciens commerciaux et technico-commerciaux, représentants en biens d'équipement, en biens intermédiaires, commerce interindustriel (hors informatique);35830;3000
463C;Techniciens commerciaux et technico-commerciaux, représentants en biens de consommation auprès d'entreprises;32680;3000
463D;Techniciens commerciaux et technico-commerciaux, représentants en services auprès d'entreprises ou de professionnels (hors banque, assurance, informatique);31440;3200
463E;Techniciens commerciaux et technico-commerciaux, représentants auprès de particuliers (hors banque, assurance, informatique);72440;2700
464A;Assistants de la publicité, des relations publiques;30230;2100
465A;Concepteurs et assistants techniques des arts graphiques, de la mode et de la décoration salariés;23550;2400
465B;Assistants techniques de la réalisation des spectacles vivants et audiovisuels salariés;24080;2700
465C;Photographes;1590;2100
466A;Responsables commerciaux et administratifs des transports de voyageurs et du tourisme (non cadres);18260;2700
466B;Responsables commerciaux et administratifs des transports de marchandises (non cadres);8590;2600
466C;Responsables d'exploitation des transports de voyageurs et de marchandises (non cadres);40940;2600
467A;Chargés de clientèle bancaire;109120;2500
467B;Techniciens des opérations bancaires;30260;2500
467C;Professions intermédiaires techniques et commerciales des assurances;48790;2600
467D;Professions intermédiaires techniques des organismes de sécurité sociale;15300;2400
468A;Maîtrise de restauration : salle et service;25190;2100
468B;Maîtrise de l'hébergement : hall et étages;6930;2100
471A;Techniciens d'étude et de conseil en agriculture, eaux et forêt;7990;2300
471B;Techniciens d'exploitation et de contrôle de la production en agriculture, eaux et forêt;3960;2300
472A;Dessinateurs en bâtiment, travaux publics;33690;2300
472B;Géomètres, topographes;11140;2300
472C;Métreurs et techniciens divers du bâtiment et des travaux publics;56860;2400
473A;Dessinateurs en électricité, électromécanique et électronique;7530;2400
473B;Techniciens de recherche-développement et des méthodes de fabrication en électricité, électromécanique et électronique;24170;2600
473C;Techniciens de fabrication et de contrôle-qualité en électricité, électromécanique et électronique;29180;2500
474A;Dessinateurs en construction mécanique et travail des métaux;18430;2500
474B;Techniciens de recherche-développement et des méthodes de fabrication en construction mécanique et travail des métaux;29430;2800
474C;Techniciens de fabrication et de contrôle-qualité en construction mécanique et travail des métaux;39550;2600
475A;Techniciens de recherche-développement et des méthodes de production des industries de transformation;38300;2600
475B;Techniciens de production et de contrôle-qualité des industries de transformation;55750;2700
476A;Assistants techniques, techniciens de l'imprimerie et de l'édition;5090;2300
476B;Techniciens de l'industrie des matériaux souples, de l'ameublement et du bois;6690;2400
477A;Techniciens de la logistique, du planning et de l'ordonnancement;65770;2500
477B;Techniciens d'installation et de maintenance des équipements industriels (électriques, électromécaniques, mécaniques, hors informatique);119620;2600
477C;Techniciens d'installation et de maintenance des équipements non industriels (hors informatique et télécommunications);60560;2600
477D;Techniciens de l'environnement et du traitement des pollutions;17840;2400
478A;Techniciens d'étude et de développement en informatique;56060;2400
478B;Techniciens de production, d'exploitation en informatique;22740;2500
478C;Techniciens d'installation, de maintenance, support et services aux utilisateurs en informatique;48660;2200
478D;Techniciens des télécommunications et de l'informatique des réseaux;40390;2300
479B;Experts salariés de niveau technicien, techniciens divers;62260;2400
480A;Contremaîtres et agents d'encadrement (non cadres) en agriculture, sylviculture;3310;2400
481A;Conducteurs de travaux (non cadres);37750;2700
481B;Chefs de chantier (non cadres);65580;2700
482A;Agents de maîtrise en fabrication de matériel électrique, électronique;3760;2600
483A;Agents de maîtrise en construction mécanique, travail des métaux;12960;3000
484A;Agents de maîtrise en fabrication : agroalimentaire, chimie, plasturgie, pharmacie.;35110;3000
484B;Agents de maîtrise en fabrication : métallurgie, matériaux lourds et autres industries de transformation;19230;2800
485A;Agents de maîtrise et techniciens en production et distribution d'énergie, eau, chauffage;37270;2900
485B;Agents de maîtrise en fabrication des autres industries (imprimerie, matériaux souples, ameublement et bois);9840;2700
486B;Agents de maîtrise en maintenance, installation en électricité et électronique;12880;2900
486C;Agents de maîtrise en maintenance, installation en électromécanique;6860;2800
486D;Agents de maîtrise en maintenance, installation en mécanique;29660;2600
486E;Agents de maîtrise en entretien général, installation, travaux neufs (hors mécanique, électromécanique, électronique);16870;2600
487A;Responsables d'entrepôt, de magasinage;39310;2500
487B;Responsables du tri, de l'emballage, de l'expédition et autres responsables de la manutention;18870;2500
488A;Maîtrise de restauration  : cuisine/production;28110;2200
488B;Maîtrise de restauration  : gestion d'établissement;12130;2300
526B;Assistants dentaires, médicaux et vétérinaires, aides de techniciens médicaux;51250;1900
526D;Aides médico-psychologiques;62950;1700
526E;Ambulanciers salariés;54530;1800
533B;Agents techniques forestiers, gardes des espaces naturels;910;1800
534A;Agents civils de sécurité et de surveillance;166480;1700
534B;Convoyeurs de fonds, gardes du corps, enquêteurs privés et métiers assimilés (salariés);5390;2100
541B;Agents d'accueil qualifiés, hôtesses d'accueil et d'information;62450;1700
541C;Agents d'accueil non qualifiés;11440;1600
541D;Standardistes, téléphonistes;40910;1600
542A;Secrétaires;349900;1900
542B;Dactylos, sténodactylos (sans secrétariat), opérateurs de traitement de texte;10190;2000
543B;Employés qualifiés des services comptables ou financiers;218740;2100
543C;Employés non qualifiés des services comptables ou financiers;22120;1900
543E;Employés qualifiés des services du personnel et des services juridiques;40990;2200
543F;Employés qualifiés des services commerciaux des entreprises (hors vente);159590;2200
543G;Employés administratifs qualifiés des autres services des entreprises;273370;2100
543H;Employés administratifs non qualifiés;103400;1800
544A;Employés et opérateurs d'exploitation en informatique;39230;2000
545A;Employés administratifs des services techniques de la banque;12630;2500
545B;Employés des services commerciaux de la banque;24040;2200
545C;Employés des services techniques des assurances;63630;2200
545D;Employés des services techniques des organismes de sécurité sociale et assimilés;64860;2000
546A;Contrôleurs des transports (personnels roulants);10330;2300
546B;Agents des services commerciaux des transports de voyageurs et du tourisme;28090;2000
546C;Employés administratifs d'exploitation des transports de marchandises;41970;2000
546D;Hôtesses de l'air et stewards;10430;2800
546E;Autres agents et hôtesses d'accompagnement (transports, tourisme);7680;1900
551A;Employés de libre service du commerce et magasiniers;365650;1600
552A;Caissiers de magasin;132330;1600
553B;Vendeurs polyvalents des grands magasins;10860;1800
553C; Autres vendeurs non spécialisés;66710;1800
554A;Vendeurs en alimentation;173120;1600
554B;Vendeurs en ameublement, décor, équipement du foyer;61610;2000
554C;Vendeurs en droguerie, bazar, quincaillerie, bricolage;52070;1800
554D;Vendeurs du commerce de fleurs;19670;1600
554E;Vendeurs en habillement et articles de sport;109860;1600
554F;Vendeurs en produits de beauté, de luxe (hors biens culturels) et optique;48500;1900
554G;Vendeurs de biens culturels (livres, disques, multimédia, objets d'art);20410;2200
554H;Vendeurs de tabac, presse et articles divers;14710;1500
554J;Pompistes et gérants de station-service (salariés ou mandataires);10910;1700
555A;Vendeurs par correspondance, télévendeurs;32290;1800
556A;Vendeurs en gros de biens d'équipement, biens intermédiaires;52450;2100
561B;Serveurs, commis de restaurant, garçons qualifiés;90270;1700
561C;Serveurs, commis de restaurant, garçons non qualifiés;111420;1600
561D;Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration;190860;1500
561E;Employés de l'hôtellerie : réception et hall;32090;1700
561F;Employés d'étage et employés polyvalents de l'hôtellerie;43920;1600
562A;Manucures, esthéticiens ;26180;1500
562B;Coiffeurs salariés;61420;1500
563A;Assistantes maternelles, gardiennes d'enfants, familles d'accueil;22200;1700
563B;Aides à domicile, aides ménagères, travailleuses familiales;185770;1400
563C;Employés de maison et personnels de ménage chez des particuliers;17040;1400
564A;Concierges, gardiens d'immeubles;51930;1800
564B;Employés des services divers;48020;1800
621A;Chefs d'équipe du gros oeuvre et des travaux publics;36850;2400
621B;Ouvriers qualifiés du travail du béton;40120;2000
621C;Conducteurs qualifiés d'engins de chantiers du bâtiment et des travaux publics;55530;2100
621D;Ouvriers des travaux publics en installations électriques et de télécommunications;20280;1900
621E;Autres ouvriers qualifiés des travaux publics;41030;2100
621G;Mineurs de fond qualifiés et autres ouvriers qualifiés des industries d'extraction (carrières, pétrole, gaz...);8220;2200
622A;Opérateurs qualifiés sur machines automatiques en production électrique ou électronique;18580;2000
622C;Monteurs câbleurs qualifiés en électricité;34770;2100
622D;Câbleurs qualifiés en électronique (prototype, unité, petite série);3670;1900
622E;Autres monteurs câbleurs en électronique;7090;1800
622F;Bobiniers qualifiés;2320;2000
622G;Plateformistes, contrôleurs qualifiés de matériel électrique ou électronique;1770;2100
623A;Chaudronniers-tôliers industriels, opérateurs qualifiés du travail en forge, conducteurs qualifiés d'équipement de formage, traceurs qualifiés;31970;2100
623B;Tuyauteurs industriels qualifiés;8160;2200
623D;Opérateurs qualifiés sur machine de soudage;4760;2000
623E;Soudeurs manuels;34980;2000
623F;Opérateurs qualifiés d'usinage des métaux travaillant à l'unité ou en petite série, moulistes qualifiés;29730;2200
623G;Opérateurs qualifiés d'usinage des métaux sur autres machines (sauf moulistes);29810;2200
624B;Monteurs, metteurs au point très qualifiés d'ensembles mécaniques travaillant à l'unité ou en petite série;18920;2200
624C;Monteurs qualifiés d'ensembles mécaniques travaillant en moyenne ou en grande série;31800;2100
624D;Monteurs qualifiés en structures métalliques;20880;2000
624E;Ouvriers qualifiés de contrôle et d'essais en mécanique;15510;2200
624F;Ouvriers qualifiés des traitements thermiques et de surface sur métaux;17610;2100
624G;Autres mécaniciens ou ajusteurs qualifiés (ou spécialité non reconnue);7950;2100
625A;Pilotes d'installation lourde des industries de transformation : agroalimentaire, chimie, plasturgie, énergie;20830;2400
625B;Ouvriers qualifiés et agents qualifiés de laboratoire : agroalimentaire, chimie, biologie, pharmacie;19910;2100
625C;Autres opérateurs et ouvriers qualifiés de la chimie (y.c. pharmacie) et de la plasturgie;59410;2400
625D;Opérateurs de la transformation des viandes;41010;1800
625F;Autres opérateurs travaillant sur installations ou machines : industrie agroalimentaire (hors transformation des viandes);55810;2100
625G;Autres ouvriers de production qualifiés ne travaillant pas sur machine : industrie agroalimentaire (hors transformation des viandes);15490;1900
625H;Ouvriers qualifiés des autres industries (eau, gaz, énergie, chauffage);16550;2400
626A;Pilotes d'installation lourde des industries de transformation : métallurgie, production verrière, matériaux de construction;17040;2200
626B;Autres opérateurs et ouvriers qualifiés : métallurgie, production verrière, matériaux de construction;60240;2100
626C;Opérateurs et ouvriers qualifiés des industries lourdes du bois et de la fabrication du papier-carton;11070;2300
627A;Opérateurs qualifiés du textile et de la mégisserie;11810;1800
627B;Ouvriers qualifiés de la coupe des vêtements et de l'habillement, autres opérateurs de confection qualifiés;8920;1700
627C;Ouvriers qualifiés du travail industriel du cuir;9090;2000
627D;Ouvriers qualifiés de scierie, de la menuiserie industrielle et de l'ameublement;29840;1900
627E;Ouvriers de la photogravure et des laboratoires photographiques et cinématographiques;1870;2000
627F;Ouvriers de la composition et de l'impression, ouvriers qualifiés de la brochure, de la reliure et du façonnage du papier-carton;29990;2100
628A;Mécaniciens qualifiés de maintenance, entretien : équipements industriels;63740;2300
628B;Electromécaniciens, électriciens qualifiés d'entretien : équipements industriels;37790;2400
628C;Régleurs qualifiés d'équipements de fabrication (travail des métaux, mécanique);18260;2300
628D;Régleurs qualifiés d'équipements de fabrication (hors travail des métaux et mécanique);12020;2300
628E;Ouvriers qualifiés de l'assainissement et du traitement des déchets;17870;1900
628G;Ouvriers qualifiés divers de type industriel;82820;2000
631A;Jardiniers;56750;1600
632A;Maçons qualifiés;157970;1900
632B;Ouvriers qualifiés du travail de la pierre;7000;1900
632C;Charpentiers en bois qualifiés;21900;1900
632D;Menuisiers qualifiés du bâtiment;37540;1900
632E;Couvreurs qualifiés;32070;1900
632F;Plombiers et chauffagistes qualifiés;81490;2000
632G;Peintres et ouvriers qualifiés de pose de revêtements sur supports verticaux;78040;1800
632H;Soliers moquetteurs et ouvriers qualifiés de pose de revêtements souples sur supports horizontaux;5990;1900
632J;Monteurs qualifiés en agencement, isolation;66310;1900
633A;Electriciens qualifiés de type artisanal (y.c. bâtiment);72250;1900
633B;Dépanneurs qualifiés en radiotélévision, électroménager, matériel électronique (salariés);6180;1900
633C;Electriciens, électroniciens qualifiés en maintenance entretien, réparation : automobile;4040;2100
633D;Electriciens, électroniciens qualifiés en maintenance, entretien : équipements non industriels;8820;2200
634A;Carrossiers d'automobiles qualifiés;34450;2000
634B;Métalliers, serruriers qualifiés;31330;2000
634C;Mécaniciens qualifiés en maintenance, entretien, réparation : automobile;126650;1900
634D;Mécaniciens qualifiés de maintenance, entretien : équipements non industriels;25730;2100
635A;Tailleurs et couturières qualifiés, ouvriers qualifiés du travail des étoffes (sauf fabrication de vêtements), ouvriers qualifiés de type artisanal du travail du cuir;12100;1900
636A;Bouchers (sauf industrie de la viande);35290;1900
636B;Charcutiers (sauf industrie de la viande);5700;1800
636C;Boulangers, pâtissiers (sauf activité industrielle);69910;1800
636D;Cuisiniers et commis de cuisine;129700;1800
637A;Modeleurs (sauf modeleurs de métal), mouleurs-noyauteurs à la main, ouvriers qualifiés du travail du verre ou de la céramique à la main;2850;1900
637B;Ouvriers d'art;4940;2200
637C;Ouvriers et techniciens des spectacles vivants et audiovisuels;9930;2400
637D;Ouvriers qualifiés divers de type artisanal;13130;1700
641A;Conducteurs routiers et grands routiers;362900;2000
641B;Conducteurs de véhicule routier de transport en commun;105740;2000
642A;Conducteurs de taxi;12820;1600
642B;Conducteurs de voiture particulière;11350;1700
643A;Conducteurs livreurs, coursiers;251760;1700
644A;Conducteurs de véhicule de ramassage des ordures ménagères;10250;2100
651A;Conducteurs d'engin lourd de levage;20230;2300
651B;Conducteurs d'engin lourd de manoeuvre;8170;2200
652A;Ouvriers qualifiés de la manutention, conducteurs de chariots élévateurs, caristes;151600;1900
652B;Dockers;5790;3700
653A;Magasiniers qualifiés;184050;1900
654B;Conducteurs qualifiés d'engins de transport guidés (sauf remontées mécaniques);22460;2800
654C;Conducteurs qualifiés de systèmes de remontées mécaniques;1410;2200
655A;Autres agents et ouvriers qualifiés (sédentaires) des services d'exploitation des transports;28740;2100
656B;Matelots de la marine marchande;3460;2500
656C;Capitaines et matelots timoniers de la navigation fluviale;1910;2400
671A;Ouvriers non qualifiés des travaux publics de l'Etat et des collectivités locales;1620;1500
671C;Ouvriers non qualifiés des travaux publics et du travail du béton;40710;1800
671D;Aides-mineurs, ouvriers non qualifiés de l'extraction;1200;1900
672A;Ouvriers non qualifiés de l'électricité et de l'électronique;15460;1800
673A;Ouvriers de production non qualifiés travaillant par enlèvement de métal;12040;1900
673B;Ouvriers de production non qualifiés travaillant par formage de métal;4380;1800
673C;Ouvriers non qualifiés de montage, contrôle en mécanique et travail des métaux;40970;1900
674A;Ouvriers de production non qualifiés : chimie, pharmacie, plasturgie;35320;1900
674B;Ouvriers de production non qualifiés de la transformation des viandes;16970;1700
674C;Autres ouvriers de production non qualifiés : industrie agroalimentaire;66950;1700
674D;Ouvriers de production non qualifiés : métallurgie, production verrière, céramique, matériaux de construction;33120;1800
674E;Ouvriers de production non qualifiés : industrie lourde du bois, fabrication des papiers et cartons;3990;1800
675A;Ouvriers de production non qualifiés du textile et de la confection, de la tannerie-mégisserie et du travail du cuir;18560;1600
675B;Ouvriers de production non qualifiés du travail du bois et de l'ameublement;20880;1400
675C;Ouvriers de production non qualifiés de l'imprimerie, presse, édition;10300;1600
676A;Manutentionnaires non qualifiés;114380;1600
676B;Déménageurs (hors chauffeurs-déménageurs), non qualifiés;6120;1600
676C;Ouvriers du tri, de l'emballage, de l'expédition, non qualifiés;185430;1700
676D;Agents non qualifiés des services d'exploitation des transports;20000;1800
676E;Ouvriers non qualifiés divers de type industriel;150640;1400
681A;Ouvriers non qualifiés du gros oeuvre du bâtiment;105570;1600
681B;Ouvriers non qualifiés du second oeuvre du bâtiment;69550;1600
682A;Métalliers, serruriers, réparateurs en mécanique non qualifiés;23620;1700
683A;Apprentis boulangers, bouchers, charcutiers;2440;1700
684A;Nettoyeurs;351950;1500
684B;Ouvriers non qualifiés de l'assainissement et du traitement des déchets;23500;1700
685A;Ouvriers non qualifiés divers de type artisanal;40800;1200
691A;Conducteurs d'engin agricole ou forestier;4070;1900
691B;Ouvriers de l'élevage;8250;1700
691C;Ouvriers du maraîchage ou de l'horticulture;11720;1500
691D;Ouvriers de la viticulture ou de l'arboriculture fruitière;9390;1700
691E;Ouvriers agricoles sans spécialisation particulière;35090;1600
691F;Ouvriers de l'exploitation forestière ou de la sylviculture;2190;1700
692A;Marins-pêcheurs et ouvriers de l'aquaculture;1010;2400
