data_job_titles,french_title,PCS_group_tim,PCS_french,PCS_code,INSEE_label,Income_moyen_EQTP,income_mois,source
mission manager,Chargée de mission,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"2 333,00",https://fr.talent.com/salary?job=comptable
film director,réalisateur,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35,,,"4 653,00",https://www.journaldunet.com/business/salaire/realisateur/salaire-01471
departmental councilor,Conseil départemental,Elected officers and political representatives,Cadres administratifs et techniques de la fonction publique,33,,,,
accountant,comptable,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"2 500,00",https://fr.talent.com/salary?job=comptable
minister,ministre,Elected officers and political representatives,Cadres administratifs et techniques de la fonction publique,33,,,"9 000,00",https://www.capital.fr/economie-politique/remaniement-quel-est-le-salaire-dun-ministre-1474651
national councilor,conseiller national,Elected officers and political representatives,Cadres administratifs et techniques de la fonction publique,33,,,"5 500,00",https://www.metier.org/salaire-conseiller-national/
historian,historien,Professors and higher scientific professions,Professeurs et professions scientifiques supérieures,34,,,"2 815,00",https://www.hellowork.com/fr-fr/metiers/historien.html
psychologist,psychologue,Professors and higher scientific professions,Professeurs et professions scientifiques supérieures,34,,,"2 550,00",https://fr.talent.com/salary?job=psychologue
analyst,Analyste,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"3 000,00",https://fr.talent.com/salary?job=Analyste
public service,Service public,Elected officers and political representatives,Cadres administratifs et techniques de la fonction publique,33,,,"3 167,00",https://fr.talent.com/salary?job=Service+public
architect,architecte,Other,,,,,"4 038,00",https://fr.talent.com/salary?job=architecte
community manager,community manager,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,"2 411,00",https://fr.talent.com/salary?job=community+manager
firefighter,pompier,Other,,,,,"1 950,00",https://fr.talent.com/salary?job=pompier
parliamentarian,parlementaire,Elected officers and political representatives,Cadres administratifs et techniques de la fonction publique,33,,,"4 679,00",https://www.senat.fr/connaitre-le-senat/role-et-fonctionnement/lindemnite-parlementaire.html
philosopher,professeur de philosophie,Professors and higher scientific professions,Professeurs et professions scientifiques supérieures,34,,,"2 799,00",https://fr.talent.com/salary?job=professeur+de+philosophie
mediator,Médiateur,Other,,,,,"1 957,00",https://fr.talent.com/salary?job=M%C3%A9diateur
artisan,artisan,Other,,,,,"2 057,00",https://fr.talent.com/salary?job=artisan
sociologist,Sociologue,Professors and higher scientific professions,Professeurs et professions scientifiques supérieures,34,,,"3 100,00",https://www.oriane.info/metier/sociologue/508
farmer,Éleveur,Other,,,,,"3 083,00",https://fr.talent.com/salary?job=%C3%89leveur
deputy mayor,Maire adjoint,Elected officers and political representatives,Cadres administratifs et techniques de la fonction publique,33,,,"1 144,00",https://actu.fr/politique/quimper-combien-gagne-un-adjoint-a-la-maire_60387668.html
hunter,Chasseur,Other,,,,,"3 142,00",https://fr.talent.com/salary?job=Chasseur
economist,economiste,Professors and higher scientific professions,Professeurs et professions scientifiques supérieures,34,,,"2 951,00",https://fr.talent.com/salary?job=economiste
